song_id,album_id,song_title,artist,genre
8,6,Moh Moh Ke Dhaage,Papon,Bollywood
9,7,Mast Magan,Arijit Singh,Bollywood
10,7,Chaandaniya,K Mohan,Bollywood
11,8,Baarish,Tanishk Bagchi,Bollywood
12,8,Phir Bhi Tumko Chahunga,Arijit Singh,Bollywood
13,8,Phir Bhi Tumko Chaahungi,Shraddha Kapoor,Bollywood
15,10,Not Afraid,Eminem,Hip-Hop
16,10,Space Bound,Eminem,Hip-Hop
17,11,Hamari Adhuri Kahani,Arijit Singh,Bollywood
18,11,Hasi,Shreya Ghoshal,Bollywood
29,10,To Life,Eminem,Hip-Hop
30,16,Game of Thrones,Taylor Davis,Soundtrack
34,16,Star Wars,Taylor Davis,Soundtrack
39,18,Ek Villain,DJ Kiran Kamath,Remix
40,18,Aashiqui 2,DJ Kiran Kamath,Rock
41,18,Tears In Love,DJ Sunny Subramanian,Remix
42,18,Romance Like SRK,DJ Sunny Subramanian,Remix
43,19,Love Mashup,Arijit Singh,Remix
61,23,Kehdoon Tumhe,Arnab Chakrabarty & Akriti Kakkar,Pop
62,23,Hum Bewafa Hargiz Na Thay,Mohammed Irfan,Pop
64,23,Bahon Ke Darmiyan,Raman Mahadevan,Hindi
65,23,Anjanay Raston,Mustafa Zahid,Pop
70,25,Something Just Like This,Chainsmokers & Coldplay,Dance
71,25,My Type,Chainsmokers & Emily Warren,Dance
72,25,Bloodstream,Chainsmokers,Dance
73,25,Young,Chainsmokers,Pop
74,26,Set Fire To The Rain,Adele,Pop
75,26,Hello,Adele,Pop
76,27,Hamdard,Arijit Singh,Bollywood
77,27,Banjaara,Mohammed Irfan,Bollywood
78,27,Galliyan,Shraddha Kapoor & Ankit Tiwari,Love
